app_id,timestamp,platform,country,media_source,spend,spend_currency,target_event_count
winclap.com,9/12/20,android,AU,pinterest,100,USD,2
winclap.com,12/6/20,android,AU,pinterest,300,USD,9
winclap.com,12/5/20,android,AU,pinterest,300,USD,1
winclap.com,12/4/20,android,AU,pinterest,300,USD,5
winclap.com,9/11/20,android,AU,pinterest,100,USD,2
winclap.com,12/3/20,android,AU,pinterest,297.59,USD,8
winclap.com,12/7/20,android,AU,pinterest,299.4,USD,10
winclap.com,9/14/20,android,AU,pinterest,100,USD,1
winclap.com,9/19/20,android,AU,pinterest,100,USD,2
winclap.com,9/15/20,android,AU,pinterest,100,USD,2
winclap.com,9/27/20,android,AU,pinterest,100,USD,1
winclap.com,9/18/20,android,AU,pinterest,100,USD,1
winclap.com,9/17/20,android,AU,pinterest,100,USD,2
winclap.com,9/26/20,android,AU,pinterest,100,USD,1
winclap.com,9/20/20,android,AU,pinterest,100,USD,1
winclap.com,10/7/20,android,AU,pinterest,100,USD,4
winclap.com,9/23/20,android,AU,pinterest,100,USD,1
winclap.com,9/25/20,android,AU,pinterest,100,USD,1
winclap.com,10/3/20,android,AU,pinterest,100,USD,2
winclap.com,10/5/20,android,AU,pinterest,100,USD,4
winclap.com,10/1/20,android,AU,pinterest,100,USD,1
winclap.com,9/28/20,android,AU,pinterest,100,USD,2
winclap.com,10/11/20,android,AU,pinterest,100,USD,2
winclap.com,11/8/20,android,AU,pinterest,100,USD,2
winclap.com,10/16/20,android,AU,pinterest,100,USD,1
winclap.com,10/15/20,android,AU,pinterest,100,USD,5
winclap.com,10/25/20,android,AU,pinterest,100,USD,3
winclap.com,10/14/20,android,AU,pinterest,100,USD,4
winclap.com,11/24/20,android,AU,pinterest,150,USD,5
winclap.com,10/8/20,android,AU,pinterest,100,USD,5
winclap.com,9/30/20,android,AU,pinterest,100,USD,4
winclap.com,10/18/20,android,AU,pinterest,99.67,USD,4
winclap.com,10/21/20,android,AU,pinterest,99.91,USD,6
